name,gaugeID,dates_as_datenum,precipitation,temperature,potential_evapotranspiration,streamflow
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-01,17.16,6.815,0.687782786409236,6.4187130231941
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-02,0,5.05,0.641754431880393,5.13497041855528
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-03,3.4,6.58,0.680981264618067,3.32510379562186
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-04,0,2.895,0.624178251111036,2.56748520927764
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-05,0,2.335,0.620796713033578,2.09818258495886
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-06,10.38,10.06,0.788813396110534,2.01189824595855
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-07,0,11.285,0.845762579719513,1.97401731664133
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-08,12.65,10.8,0.798132903813808,2.3570356019598
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-09,4.87,2.06,0.605037099035711,2.77793481659548
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-10,0,2.86,0.637390404616405,2.29390071976445
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-11,26.62,6.81,0.739652008608404,2.92524954171797
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-12,54.87,9.825,0.784337843487713,20.5188367134893
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-13,34.11,5.485,0.724145095701583,34.7241852074435
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-14,25.78,3.58,0.658726735254399,12.6901113212657
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-15,29.85,4.605,0.651665501288185,14.8577422766395
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-16,0,2.935,0.710695587261948,7.44991609905152
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-17,0,2.18,0.722343166950347,4.50362159660177
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-18,0,5.175,0.792224852315125,3.36719371708543
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-19,0,6.78,0.846901837370981,4.08272238196609
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-20,0,6.09,0.867522561011961,4.84034096831031
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-21,0,1.405,0.752735464567159,4.31421695001571
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-22,0,2.13,0.789739799781049,3.9354076568436
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-23,0,4.865,0.863458293877086,3.64077820659862
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-24,0,8.215,0.978805813736241,3.38823867781722
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-25,0,11.06,1.10576620650551,3.19883403123116
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-26,0,12.47,1.17492425194797,3.09360922757224
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-27,14.61,5.045,0.875650738189798,3.15674410976759
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-28,0,3.825,0.940854252073719,3.13569914903581
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-29,10.51,6.33,0.962715290825973,3.30405883489008
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-30,13.65,9.415,0.958009464437841,3.85122781391646
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-01-31,0,7.945,1.13307951226834,3.91436269611181
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-01,0,12.27,1.30319420531344,3.87227277464825
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-02,0,17.205,1.43102982390507,3.68286812806219
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-03,9.49,11.435,1.17564526288568,3.66182316733041
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-04,6.66,-0.46,0.689158700537476,3.72495804952576
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-05,6.36,-2.38,0.53458306751756,3.68286812806219
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-06,5.45,-4.875,0.584196342990481,3.55659836367149
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-07,5.88,-6.425,0.5634186072853,3.45137356001257
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-08,0,-3.73,0.879815302470122,3.32510379562186
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-09,0,-4.35,0.933121885107958,3.15674410976759
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-10,0,-4.515,0.938622647751253,3.03047434537689
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-11,0,1.11,1.20586811822431,2.92524954171797
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-12,0,4.04,1.35680215370842,2.84106969879083
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-13,6.67,8.25,1.31731346863435,2.77793481659548
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-14,33.37,14.22,1.41457733495608,9.13351295759423
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-15,28.53,13.315,1.42189832098113,13.3004151824875
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-16,10.89,10.93,1.36041318354245,16.6255189781093
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-17,14.29,3.04,0.770188033184452,12.1429423422393
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-18,20.92,1.045,0.680916060964713,12.1429423422393
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-19,2,1.85,0.903189901945984,15.7205856666426
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-20,18.12,6.065,1.03976714673866,13.5950446327324
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-21,54.01,8.845,1.21661449715652,23.1494568049623
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-22,2.53,2.74,1.18938024444695,18.0986662293342
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-23,16.1,-4.23,0.969619192105972,6.01885876929021
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-24,0,-5.475,1.14550287963858,3.95645261757538
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-25,0,-1.31,1.49327781465455,3.0094293846451
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-26,0,5.115,1.88855441555039,2.48330536635051
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-27,21.17,6.725,1.60995070093742,2.52539528781407
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-02-28,13.86,1.405,1.12450896809424,4.37735183221106
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-01,0,4.05,1.78569698254563,4.12481230342965
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-02,0,5.07,1.99731606318561,3.15674410976759
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-03,0,7.68,2.21844613538439,2.63062009147299
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-04,0,11.33,1.9565517100307,2.31494568049623
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-05,74.88,10.58,1.85497882805584,10.2488958763788
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-06,23.9,2.475,1.17533354415332,25.2539528781407
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-07,0,-1.385,0.7586922807021,9.13351295759423
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-08,0,-0.48,1.40344123458338,4.81929600757852
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-09,0,3.7,1.96857709102986,3.49346348147614
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-10,0,6.835,2.2814876647889,2.77793481659548
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-11,0,10.905,2.55880526269219,2.37808056269159
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-12,0,13.915,2.79549806049521,2.08976460066615
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-13,0,15.02,2.90077577212653,1.87721049727513
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-14,0,16.78,2.96352100740908,1.70674631534768
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-15,0,18.325,2.98479227960891,1.5678495745179
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-16,0,9.445,2.6651277216075,1.42684833761495
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-17,0,11.31,2.82050609395393,1.3047875653706
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-18,2.59,15.31,2.85500833417116,1.25007066746797
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-19,0.72,6.88,2.51334508912216,1.21639873029711
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-20,13.87,10.54,2.23124137188303,1.2079807460044
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-21,17.77,12.045,2.38522504659617,1.27111562819975
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-22,0,3.01,1.72657262731408,1.2563841556875
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-23,0,6.96,2.06679464775952,1.18062229705308
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-24,1.06,8.955,1.78902364400732,1.19114477741897
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-25,0,12.27,2.73745580567167,1.20166725778486
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-26,0,13.81,3.24107809636856,1.16799532061401
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-27,0,15.635,3.39864840216962,1.14484586380905
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-28,0,19.545,3.49029753579599,1.08591997376005
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-29,18.78,20.535,2.65132969400312,1.04593454836966
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-30,7.57,18.735,2.3593714559761,1.04172555622331
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-03-31,17.67,12.935,2.61096619690089,1.24165268317525
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-01,0,4.93,2.60815006580092,1.38265392007821
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-02,0,10.475,3.08809335726728,1.26269764390704
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-03,26.7,16.205,2.51797243780252,2.37808056269159
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-04,47.32,16.87,2.51612475202943,10.5014354051602
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-05,16.71,10.865,2.66030260917941,16.5413391351822
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-06,6.22,6.555,2.4548327330241,6.56602774831659
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-07,14.15,7.27,2.05642671980559,4.9876556934328
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-08,5.84,9.82,1.949142293151,4.7140712039196
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-09,0.5,7.515,2.79234641575642,3.66182316733041
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-10,0,5.42,2.12198966518954,2.79897977732727
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-11,0,2.2,2.68850085597556,2.29390071976445
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-12,0,4.62,2.97993468453013,2.03083871061715
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-13,0,8.025,3.40371020441693,1.84353856010427
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-14,0,8.95,3.47868295693702,1.69201484283543
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-15,5.41,11.085,2.39168573394656,1.62046197634736
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-16,0,9.745,3.58546952848138,1.51102818054209
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-17,0,14.645,4.1262362543078,1.38475841615138
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-18,0,18.455,4.45096707642446,1.27953361249246
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-19,6.86,17.405,3.37675822766122,1.23113020280936
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-20,0,11.51,3.80346960352398,1.19324927349215
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-21,0,13.07,4.13117648811719,1.13432338344315
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-22,0,16.74,4.42773365589022,1.09433795805277
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-23,0,18.625,4.59879464521131,1.07329299732098
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-24,0,20.62,4.57077198958594,1.05856152480873
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-25,0,21.285,4.57792569018916,1.00594912297927
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-26,0,21.64,4.54441845986774,0.940709744710742
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-27,0,22.705,4.64951076614381,0.913351295759423
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-28,0,22.245,4.56471718453823,0.883888350734926
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-29,0,22.085,4.40603066471998,0.860738893929964
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-04-30,0,19.74,3.6380356074767,0.83969393319818
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-01,8.37,18.595,3.05372831103264,0.873365870369034
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-02,0,13.145,3.59825822004164,0.923873776125316
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-03,0,13.335,3.27949677610016,0.856529901783607
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-04,0,13.27,3.16192998781837,0.835484941051823
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-05,18.71,15.91,2.07452457095086,0.999635634759738
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-06,14.3,14.8,2.98842857914619,1.24165268317525
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-07,0,8.915,3.71871927237657,1.14695035988223
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-08,0,11.27,4.10713426507628,1.05645702873555
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-09,6.26,15.495,3.20550615925344,1.03751656407695
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-10,8.19,16.19,2.79780744376488,1.05645702873555
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-11,0,11.49,4.02614572268814,0.997531138686559
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-12,0,10.375,4.1451260995432,0.932291760418029
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-13,0,11.705,4.19891497701021,0.896515327173996
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-14,0.01,13.99,3.870389866904,0.881783854661748
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-15,11.56,15.33,2.97226530830518,0.936500752564386
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-16,0,14.7,4.51086888948122,0.925978272198494
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-17,0,15.92,4.63300672800066,0.854425405710428
"Buffalo River near Flat Woods, Tennessee, USA",3604000,1989-05-18,0,17.95,4.3640919523214,0.824962460685931
